"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"CA001108395","1957-01-06","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA","   20",",,S",,,,,,,"    6",",,S","   23","H,,S",,,,
"CA001108395","1957-01-07","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA","   61",",,S",,,,,"   56",",,S","   11",",,S","   44","H,,S",,,,
"CA001108395","1957-01-08","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA","   89",",,S",,,,,"   56",",,S","   11",",,S","   23","H,,S",,,,
"CA001108395","1957-01-09","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA","    3",",,S",,,,,"   28",",,S",,,"  -29","H,,S",,,,
"CA001108395","1957-01-10","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA","   99",",,S",,,,,,,"   -6",",,S","    8","H,,S",,,,
"CA001108395","1957-07-01","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA","   20",",,S",,,,,"  200",",,S","  100",",,S","  147","H,,S",,,,
"CA001108395","1957-07-02","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA","   71",",,S",,,,,"  194",",,S","  100",",,S","  150","H,,S",,,,
"CA001108395","1957-07-03","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA","    0",",,S",,,,,"  200",",,S","  100",",,S","  157","H,,S",,,,
"CA001108395","1957-07-04","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA",,,,,,,"  200",",,S","  117",",,S","  161","H,,S",,,,
"CA001108395","1957-07-05","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA",,,,,,,"  233",",,S","  117",",,S","  181","H,,S",,,,
"CA001108395","1957-07-06","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA","   10",",,S",,,,,"  189",",,S","  100",",,S","  146","H,,S",,,,
"CA001108395","1957-07-07","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA","    0",",,S",,,,,"  222",",,S","   89",",,S","  150","H,,S",,,,
"CA001108395","1957-07-08","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA",,,,,,,"  211",",,S",,,"  143","H,,S",,,,
"CA001108395","1957-07-09","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA","  119",",,S",,,,,"  178",",,S","  122",",,S","  143","H,,S",,,,
"CA001108395","1957-07-10","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA","    0",",,S",,,,,"  206",",,S","  111",",,S","  157","H,,S",,,,
"CA001108395","1957-07-11","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA","   79",",,S",,,,,"  178",",,S","  111",",,S","  151","H,,S",,,,
"CA001108395","1957-07-12","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA","    0",",,S",,,,,"  200",",,S","  117",",,S","  162","H,,S",,,,
"CA001108395","1957-07-13","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA",,,,,,,"  206",",,S","  117",",,S","  162","H,,S",,,,
"CA001108395","1957-07-14","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA","   61",",,S",,,,,"  189",",,S","  122",",,S","  163","H,,S",,,,
"CA001108395","1957-07-15","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA","   41",",,S",,,,,"  200",",,S","  133",",,S","  169","H,,S",,,,
"CA001108395","1957-07-16","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA","   20",",,S",,,,,"  211",",,S","  133",",,S","  162","H,,S",,,,
"CA001108395","1957-07-17","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA","    0",",,S",,,,,"  189",",,S","  133",",,S","  160","H,,S",,,,
"CA001108395","1957-07-18","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA",,,,,,,"  200",",,S","  111",",,S","  157","H,,S",,,,
"CA001108395","1957-07-19","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA",,,,,,,"  222",",,S","  111",",,S","  183","H,,S",,,,
"CA001108395","1957-07-20","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA",,,,,,,"  228",",,S","  139",",,S","  185","H,,S",,,,
"CA001108395","1957-07-21","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA",,,,,,,"  211",",,S","  117",",,S","  161","H,,S",,,,
"CA001108395","1957-07-22","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA",,,,,,,"  222",",,S","  117",",,S","  172","H,,S",,,,
"CA001108395","1957-07-23","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA",,,,,,,"  228",",,S","  122",",,S","  181","H,,S",,,,
"CA001108395","1957-07-24","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA",,,,,,,"  222",",,S","  117",",,S","  174","H,,S",,,,
