"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"JA000047759","1945-10-31","35.017","135.733","46.0","KYOTO, JA",,,,,,,,,"  152","H,,S"
"JA000047759","1945-11-01","35.017","135.733","46.0","KYOTO, JA",,,,,,,,,"  119","H,,S"
"JA000047759","1945-11-02","35.017","135.733","46.0","KYOTO, JA",,,,,,,,,"  110","H,,S"
"JA000047759","1945-11-03","35.017","135.733","46.0","KYOTO, JA",,,,,,,,,"  114","H,,S"
"JA000047759","1945-11-04","35.017","135.733","46.0","KYOTO, JA",,,,,,,,,"  113","H,,S"
"JA000047759","1945-11-05","35.017","135.733","46.0","KYOTO, JA",,,,,,,,,"  126","H,,S"
"JA000047759","1945-11-06","35.017","135.733","46.0","KYOTO, JA",,,,,,,,,"  132","H,,S"
"JA000047759","1945-11-07","35.017","135.733","46.0","KYOTO, JA",,,,,,,,,"  102","H,,S"
"JA000047759","1945-11-08","35.017","135.733","46.0","KYOTO, JA",,,,,,,,,"   84","H,,S"
"JA000047759","1945-11-09","35.017","135.733","46.0","KYOTO, JA",,,,,,,,,"   98","H,,S"
"JA000047759","1945-11-10","35.017","135.733","46.0","KYOTO, JA",,,,,,,,,"  113","H,,S"
"JA000047759","1945-11-11","35.017","135.733","46.0","KYOTO, JA",,,,,,,,,"  115","H,,S"
"JA000047759","1945-11-12","35.017","135.733","46.0","KYOTO, JA",,,,,,,,,"   71","H,,S"
"JA000047759","1945-11-13","35.017","135.733","46.0","KYOTO, JA",,,,,,,,,"  121","H,,S"
"JA000047759","1951-01-01","35.017","135.733","46.0","KYOTO, JA","    0","T,,I",,,"   79",",,I","   13",",,I",,
"JA000047759","1951-01-02","35.017","135.733","46.0","KYOTO, JA","    0","T,,I",,,"   69",",,I","  -12",",,I",,
"JA000047759","1951-01-03","35.017","135.733","46.0","KYOTO, JA","    0",",,I",,,"   85",",,I","  -33",",,I",,
"JA000047759","1951-01-04","35.017","135.733","46.0","KYOTO, JA","    0","T,,I",,,"   51",",,I","  -15",",,I",,
"JA000047759","1951-01-05","35.017","135.733","46.0","KYOTO, JA","    0",",,I",,,"   74",",,I","   14",",,I",,
"JA000047759","1951-01-06","35.017","135.733","46.0","KYOTO, JA","    0",",,I",,,"   89",",,I","  -15",",,I",,
"JA000047759","1951-01-07","35.017","135.733","46.0","KYOTO, JA","    7",",,I",,,"   67",",,I","   13",",,I",,
"JA000047759","1951-01-08","35.017","135.733","46.0","KYOTO, JA","    0",",,I",,,"  111",",,I","   -6",",,I",,
"JA000047759","1951-01-09","35.017","135.733","46.0","KYOTO, JA","   44",",,I",,,"  106",",,I","   -7",",,I",,
"JA000047759","1951-01-10","35.017","135.733","46.0","KYOTO, JA","  244",",,I",,,"   85",",,I","   51",",,I",,
"JA000047759","1951-01-11","35.017","135.733","46.0","KYOTO, JA","    0","T,,I",,,"   96",",,I","   42",",,I",,
"JA000047759","1951-01-12","35.017","135.733","46.0","KYOTO, JA","    0","T,,I",,,"   85",",,I","    6",",,I",,
"JA000047759","1951-01-13","35.017","135.733","46.0","KYOTO, JA","    0","T,,I",,,"   34",",,I","  -17",",,I",,
"JA000047759","1951-01-14","35.017","135.733","46.0","KYOTO, JA","   24",",,I",,,"   41",",,I","  -17",",,I",,
"JA000047759","1951-01-15","35.017","135.733","46.0","KYOTO, JA","    0",",,I",,,"   70",",,I","  -17",",,I",,
"JA000047759","1951-01-16","35.017","135.733","46.0","KYOTO, JA","    0",",,I",,,"   91",",,I","  -46",",,I",,
"JA000047759","1951-01-17","35.017","135.733","46.0","KYOTO, JA","    5",",,I",,,"  111",",,I","  -27",",,I",,
"JA000047759","1951-01-18","35.017","135.733","46.0","KYOTO, JA","    0",",,I",,,"  123",",,I","   -9",",,I",,
"JA000047759","1951-01-19","35.017","135.733","46.0","KYOTO, JA","  122",",,I",,,"   77",",,I","   19",",,I",,
"JA000047759","1951-01-20","35.017","135.733","46.0","KYOTO, JA","    9",",,I",,,"  123",",,I","   43",",,I",,
"JA000047759","1951-01-21","35.017","135.733","46.0","KYOTO, JA","    3",",,I",,,"   43",",,I","  -26",",,I",,
"JA000047759","1951-01-22","35.017","135.733","46.0","KYOTO, JA","    6",",,I",,,"   35",",,I","  -36",",,I",,
"JA000047759","1951-01-23","35.017","135.733","46.0","KYOTO, JA","    0",",,I",,,"   69",",,I","  -54",",,I",,
"JA000047759","1951-01-24","35.017","135.733","46.0","KYOTO, JA","    0",",,I",,,"   94",",,I","   16",",,I",,
"JA000047759","1951-01-25","35.017","135.733","46.0","KYOTO, JA","    0",",,I",,,"   95",",,I","   12",",,I",,
"JA000047759","1951-01-26","35.017","135.733","46.0","KYOTO, JA","    0","T,,I",,,"   75",",,I","   -5",",,I",,
"JA000047759","1951-01-27","35.017","135.733","46.0","KYOTO, JA","    0",",,I",,,"   81",",,I","   -3",",,I",,
"JA000047759","1951-01-28","35.017","135.733","46.0","KYOTO, JA","    0",",,I",,,"   99",",,I","  -29",",,I",,
"JA000047759","1951-01-29","35.017","135.733","46.0","KYOTO, JA","    0",",,I",,,"  127",",,I","  -28",",,I",,
"JA000047759","1951-01-30","35.017","135.733","46.0","KYOTO, JA","    0","T,,I",,,"  123",",,I","  -15",",,I",,
"JA000047759","1951-01-31","35.017","135.733","46.0","KYOTO, JA","    1",",,I",,,"  122",",,I","    5",",,I",,
"JA000047759","1951-02-01","35.017","135.733","46.0","KYOTO, JA","    0",",,I",,,"  135",",,I","   -5",",,I",,
"JA000047759","1951-02-02","35.017","135.733","46.0","KYOTO, JA","    1",",,I",,,"  143",",,I","  -30",",,I",,
"JA000047759","1951-02-03","35.017","135.733","46.0","KYOTO, JA","    5",",,I",,,"   54",",,I","   -7",",,I",,
"JA000047759","1951-02-04","35.017","135.733","46.0","KYOTO, JA","   23",",,I",,,"   45",",,I","  -23",",,I",,
"JA000047759","1951-02-05","35.017","135.733","46.0","KYOTO, JA","    4",",,I",,,"   60",",,I","  -34",",,I",,
