location,country_code,species,lat,long,alt,year,bloom_date,bloom_doy,source_file
vancouver,CA,Prunus x yedoensis,49.2237,-123.1636,24.0,2022,2022-03-27,86,vancouver.csv
vancouver,CA,Prunus x yedoensis,49.2237,-123.1636,24.0,2023,2023-04-07,96,vancouver.csv
vancouver,CA,Prunus x yedoensis,49.2237,-123.1636,24.0,2024,2024-03-23,83,vancouver.csv
vancouver,CA,Prunus x yedoensis,49.2237,-123.1636,24.0,2025,2025-04-03,93,vancouver.csv
liestal,CH,Prunus avium,47.4814,7.730519,350.0,1894,1894-04-16,106,liestal.csv
liestal,CH,Prunus avium,47.4814,7.730519,350.0,1895,1895-04-17,107,liestal.csv
liestal,CH,Prunus avium,47.4814,7.730519,350.0,1896,1896-04-16,107,liestal.csv
liestal,CH,Prunus avium,47.4814,7.730519,350.0,1897,1897-03-27,86,liestal.csv
liestal,CH,Prunus avium,47.4814,7.730519,350.0,1898,1898-04-16,106,liestal.csv
liestal,CH,Prunus avium,47.4814,7.730519,350.0,1899,1899-04-03,93,liestal.csv
liestal,CH,Prunus avium,47.4814,7.730519,350.0,1900,1900-04-23,114,liestal.csv
liestal,CH,Prunus avium,47.4814,7.730519,350.0,1901,1901-04-23,113,liestal.csv
liestal,CH,Prunus avium,47.4814,7.730519,350.0,1902,1902-04-12,102,liestal.csv
liestal,CH,Prunus avium,47.4814,7.730519,350.0,1903,1903-03-27,86,liestal.csv
liestal,CH,Prunus avium,47.4814,7.730519,350.0,1904,1904-04-13,104,liestal.csv
liestal,CH,Prunus avium,47.4814,7.730519,350.0,1905,1905-04-12,102,liestal.csv
liestal,CH,Prunus avium,47.4814,7.730519,350.0,1906,1906-04-13,103,liestal.csv
liestal,CH,Prunus avium,47.4814,7.730519,350.0,1907,1907-04-15,105,liestal.csv
liestal,CH,Prunus avium,47.4814,7.730519,350.0,1908,1908-04-28,119,liestal.csv
liestal,CH,Prunus avium,47.4814,7.730519,350.0,1909,1909-04-19,109,liestal.csv
liestal,CH,Prunus avium,47.4814,7.730519,350.0,1910,1910-04-15,105,liestal.csv
liestal,CH,Prunus avium,47.4814,7.730519,350.0,1911,1911-04-17,107,liestal.csv
liestal,CH,Prunus avium,47.4814,7.730519,350.0,1912,1912-03-26,86,liestal.csv
liestal,CH,Prunus avium,47.4814,7.730519,350.0,1913,1913-03-31,90,liestal.csv
liestal,CH,Prunus avium,47.4814,7.730519,350.0,1914,1914-04-09,99,liestal.csv
liestal,CH,Prunus avium,47.4814,7.730519,350.0,1915,1915-04-27,117,liestal.csv
