location,country_code,continent,species,lat,long,alt,year,bloom_date,bloom_doy,mean_tmax_early_spring,mean_tmin_early_spring,max_tmax_early_spring,min_tmin_early_spring,total_prcp_early_spring,chill_days_oct1_dec31,observed_gdd_to_bloom,chill_threshold_used,forcing_base_used,is_future
vancouver,CA,North America,Prunus x yedoensis,49.2237,-123.1636,24.0,2022,2022-03-27,86.0,7.328108108108109,1.6835135135135137,12.87,-9.93,280.49999999999994,39.0,65.59,5.0,5.0,False
vancouver,CA,North America,Prunus x yedoensis,49.2237,-123.1636,24.0,2023,2023-04-07,96.0,7.540270270270271,2.038918918918919,13.67,-8.030000000000001,224.29999999999998,43.0,66.15,5.0,5.0,False
vancouver,CA,North America,Prunus x yedoensis,49.2237,-123.1636,24.0,2024,2024-03-23,83.0,7.346351351351351,1.6254054054054052,14.17,-13.83,389.9,25.0,86.77999999999997,5.0,5.0,False
vancouver,CA,North America,Prunus x yedoensis,49.2237,-123.1636,24.0,2025,2025-04-03,93.0,7.071351351351351,-0.8441891891891891,14.77,-8.930000000000001,200.3,14.0,50.28249999999999,5.0,5.0,False
liestal,CH,Europe,Prunus avium,47.4814,7.730519,350.0,1974,1974-04-02,92.0,7.43035135135135,1.556027027027027,16.079,-3.921,79.1,37.0,97.48100000000001,4.3,4.0,False
liestal,CH,Europe,Prunus avium,47.4814,7.730519,350.0,1975,1975-04-18,108.0,8.03845945945946,1.2735945945945946,16.779,-3.921,95.2,29.0,99.27599999999998,4.3,4.0,False
liestal,CH,Europe,Prunus avium,47.4814,7.730519,350.0,1976,1976-04-11,102.0,6.157666666666667,-0.7903333333333336,17.179,-11.821,61.699999999999996,43.0,69.53600000000002,4.3,4.0,False
liestal,CH,Europe,Prunus avium,47.4814,7.730519,350.0,1977,1977-03-21,80.0,8.039810810810812,1.8817027027027031,21.679,-6.321,221.70000000000002,34.0,179.631,4.3,4.0,False
liestal,CH,Europe,Prunus avium,47.4814,7.730519,350.0,1978,1978-04-18,108.0,5.156027027027027,0.0425135135135134,16.379,-6.021,121.40000000000002,35.0,67.567,4.3,4.0,False
liestal,CH,Europe,Prunus avium,47.4814,7.730519,350.0,1979,1979-04-15,105.0,4.168189189189189,-1.1507297297297299,14.579,-12.821,177.8,29.0,65.78799999999998,4.3,4.0,False
liestal,CH,Europe,Prunus avium,47.4814,7.730519,350.0,1980,1980-04-13,104.0,5.775,-0.023666666666666676,13.179,-8.321,127.7,32.0,62.65699999999999,4.3,4.0,False
liestal,CH,Europe,Prunus avium,47.4814,7.730519,350.0,1981,1981-04-02,92.0,4.530351351351352,-1.402081081081081,20.279,-9.721,155.5,45.0,71.143,4.3,4.0,False
liestal,CH,Europe,Prunus avium,47.4814,7.730519,350.0,1982,1982-04-18,108.0,5.292513513513514,-0.983162162162162,14.179,-7.521,150.60000000000002,43.0,63.083000000000006,4.3,4.0,False
liestal,CH,Europe,Prunus avium,47.4814,7.730519,350.0,1983,1983-04-11,101.0,6.393864864864866,-0.11559459459459458,17.879,-8.721,125.60000000000001,25.0,97.41999999999997,4.3,4.0,False
liestal,CH,Europe,Prunus avium,47.4814,7.730519,350.0,1984,1984-04-19,110.0,4.9016666666666655,-1.2516666666666667,13.779,-7.121,145.1,39.0,22.742999999999995,4.3,4.0,False
liestal,CH,Europe,Prunus avium,47.4814,7.730519,350.0,1985,1985-04-16,106.0,2.250621621621622,-4.721000000000001,12.279,-20.821,102.6,32.0,41.338,4.3,4.0,False
liestal,CH,Europe,Prunus avium,47.4814,7.730519,350.0,1986,1986-05-01,121.0,2.3668378378378376,-3.922351351351351,12.579,-16.021,151.0,39.0,21.919,4.3,4.0,False
liestal,CH,Europe,Prunus avium,47.4814,7.730519,350.0,1987,1987-04-22,112.0,2.0965675675675675,-3.480459459459459,14.079,-23.521,83.3,23.0,39.656,4.3,4.0,False
liestal,CH,Europe,Prunus avium,47.4814,7.730519,350.0,1988,1988-04-17,108.0,7.133666666666665,1.0163333333333335,15.879,-4.921,131.29999999999998,29.0,83.50699999999999,4.3,4.0,False
liestal,CH,Europe,Prunus avium,47.4814,7.730519,350.0,1989,1989-03-28,87.0,7.791162162162161,0.8357567567567568,19.279,-5.521,90.8,33.0,115.08899999999998,4.3,4.0,False
liestal,CH,Europe,Prunus avium,47.4814,7.730519,350.0,1990,1990-03-16,75.0,9.854675675675677,1.3398108108108109,21.179,-6.421,85.6,36.0,204.47099999999998,4.3,4.0,False
liestal,CH,Europe,Prunus avium,47.4814,7.730519,350.0,1991,1991-04-04,94.0,6.192513513513514,-0.7642432432432432,18.779,-13.921,62.7,39.0,130.965,4.3,4.0,False
liestal,CH,Europe,Prunus avium,47.4814,7.730519,350.0,1992,1992-04-11,102.0,6.375000000000001,-0.8050000000000002,15.979,-9.421,92.19999999999999,43.0,90.60700000000001,4.3,4.0,False
liestal,CH,Europe,Prunus avium,47.4814,7.730519,350.0,1993,1993-04-11,101.0,6.435756756756756,-0.8791081081081084,17.779,-12.221,48.599999999999994,33.0,91.54100000000001,4.3,4.0,False
liestal,CH,Europe,Prunus avium,47.4814,7.730519,350.0,1994,1994-03-23,82.0,8.085756756756759,1.5938648648648648,20.479,-7.821,120.6,29.0,161.75499999999997,4.3,4.0,False
liestal,CH,Europe,Prunus avium,47.4814,7.730519,350.0,1995,1995-04-03,93.0,7.783054054054056,0.27629729729729735,16.079,-10.221,192.49999999999997,17.0,121.28399999999999,4.3,4.0,False
liestal,CH,Europe,Prunus avium,47.4814,7.730519,350.0,1996,1996-04-18,109.0,3.999,-1.8196666666666665,13.279,-8.521,41.300000000000004,42.0,16.019,4.3,4.0,False
liestal,CH,Europe,Prunus avium,47.4814,7.730519,350.0,1997,1997-03-22,81.0,7.154675675675676,-0.05883783783783795,20.579,-12.421,91.3,36.0,163.323,4.3,4.0,False
liestal,CH,Europe,Prunus avium,47.4814,7.730519,350.0,1998,1998-03-31,90.0,8.626297297297297,0.737108108108108,22.379,-7.721,106.7,38.0,161.126,4.3,4.0,False
liestal,CH,Europe,Prunus avium,47.4814,7.730519,350.0,1999,1999-04-04,94.0,6.824945945945946,0.256027027027027,19.779,-14.421,154.3,37.0,114.836,4.3,4.0,False
liestal,CH,Europe,Prunus avium,47.4814,7.730519,350.0,2000,2000-04-01,92.0,7.606999999999999,1.2603333333333333,19.279,-10.821,114.29999999999998,37.0,129.597,4.3,4.0,False
liestal,CH,Europe,Prunus avium,47.4814,7.730519,350.0,2001,2001-03-30,89.0,7.568189189189188,1.7222432432432433,16.379,-4.621,234.29999999999998,11.0,128.01,4.3,4.0,False
