model,n,mae_days,rmse_days,r2,mae_rank,rmse_rank,r2_rank,composite_rank_score
weighted_lm,64,4.2875,4.9739,0.497,1.0,1.0,1.0,1.0
linear_ols,64,4.4688,5.3027,0.4283,2.0,2.0,2.0,2.0
ridge,64,4.6266,5.5408,0.3758,3.0,3.0,3.0,3.0
bayesian_ridge,64,4.6547,5.5753,0.368,5.0,4.0,4.0,4.333333333333333
lasso,64,4.8562,5.8565,0.3027,6.0,5.0,5.0,5.333333333333333
random_forest,64,5.4859,6.4914,0.1433,7.0,6.0,6.0,6.333333333333333
process_based_thermal,27,4.6296,11.0437,-1.0059,4.0,9.0,9.0,7.333333333333333
arimax,64,6.1047,7.8422,-0.2503,8.0,7.0,7.0,7.333333333333333
gradient_boosting_quantile,64,6.9437,8.7522,-0.5574,9.0,8.0,8.0,8.333333333333334
dts,66,9.5909,15.5928,-3.9993,10.0,10.0,10.0,10.0
